experiment,method,m,num_sensors,relative_frobenius_error,mean_snapshot_relative_error,median_snapshot_relative_error,p95_snapshot_relative_error,max_snapshot_relative_error,min_snapshot_relative_error,condition_2,inverse_norm_2,sensor_selection_time_seconds,reconstruction_time_seconds,pod_orthonormality_2_norm,distinct_indices,nonsingular,max_abs_interpolation_residual,relative_interpolation_residual,mass_l2_relative_error
leave_one_out,POD_projection,20,,0.013563829734048504,0.024885124709763368,0.014494399524537129,0.06819305180506723,1.3692478139980184,0.005816752061718304,,,0.0,0.16238612501183525,1.0737053813393833e-14,,,,,
leave_one_out,DEIM,20,20,0.028030711573860126,0.03996684633822181,0.025021762854595345,0.08960703110163624,2.1606174734367514,0.008400736779541234,9.4350905203954,64.1097742497171,0.002069709007628262,0.007925250014523044,1.0737053813393833e-14,20,True,6.039613253960852e-14,8.01737253187359e-17,
leave_one_out,QDEIM,20,20,0.020043651298197417,0.03567547064429709,0.020780707226631223,0.09379091981295355,2.252221059068739,0.008061868802100561,6.55296230193393,45.0174925345236,0.007161417015595362,0.008376042009331286,1.0737053813393833e-14,20,True,5.551115123125783e-14,9.427709682618687e-17,
leave_one_out,POD_projection,30,,0.009069268025332278,0.016726728008377406,0.008595219041344412,0.04243180801403696,0.841851099986624,0.004532812552155147,,,0.0,0.020182375010335818,1.0982324165224576e-14,,,,,
leave_one_out,DEIM,30,30,0.019360508779547328,0.03142205601048496,0.019151993045164704,0.06150930824827828,1.6442325147724237,0.007490176048531549,10.810671711336019,54.287423242336374,0.0026664579927455634,0.00797979100025259,1.0982324165224576e-14,30,True,1.4210854715202004e-13,1.2874720908516151e-16,
leave_one_out,QDEIM,30,30,0.016448398451213465,0.02457354215843964,0.015145910108973336,0.05166614102250637,1.101654185139331,0.006112299853794324,6.761757014602859,35.49649693803025,0.008094874996459112,0.008872042002622038,1.0982324165224576e-14,30,True,5.684341886080802e-14,1.0852695874283917e-16,
leave_one_out,POD_projection,40,,0.006332043631814899,0.0115814373678199,0.0059326919391519736,0.029873322678904943,0.5858056092210188,0.0027276050161931485,,,0.0,0.024628707993542776,1.1160000307170848e-14,,,,,
leave_one_out,DEIM,40,40,0.013272621438488199,0.02127469746987406,0.012477779862456021,0.03922209315785915,1.1730128344483997,0.004152728240564789,11.604518687744642,55.28423894551649,0.004546624986687675,0.008975415985332802,1.1160000307170848e-14,40,True,2.9665159217984183e-13,1.487457696279297e-16,
leave_one_out,QDEIM,40,40,0.012117595682798627,0.017905101739126798,0.011364012285091627,0.0398184910922335,0.7049086006988129,0.0038638397857284905,9.578934783747387,47.14436818873299,0.011126666999189183,0.009150541998678818,1.1160000307170848e-14,40,True,2.8421709430404007e-13,1.5564311037806123e-16,
leave_one_out,POD_projection,60,,0.0035982570480212273,0.006158686398704811,0.0033158706673212623,0.016403037706659997,0.3153097416391065,0.0018438558952467861,,,0.0,0.024273541988804936,1.1204779844148615e-14,,,,,
leave_one_out,DEIM,60,60,0.011099195881812268,0.01818477818939625,0.009459787509777854,0.07308920466700153,0.6078913936090745,0.003396446435561708,21.412716851594197,82.38807243363748,0.010579624999081716,0.011928000021725893,1.1204779844148615e-14,60,True,1.949551631241775e-13,1.6301474926751612e-16,
leave_one_out,QDEIM,60,60,0.007769828745380938,0.0129879049963666,0.006273829418397199,0.04409731274847587,0.5572061695674676,0.002943093310866377,12.043718164951063,47.90029195905642,0.019950416986830533,0.010696415993152186,1.1204779844148615e-14,60,True,1.816324868286756e-13,1.7649124124641754e-16,
leave_one_out,POD_projection,80,,0.0021183166993287523,0.00366225907362379,0.002133885631502126,0.008854958349701021,0.19480548628821806,0.0010719929520716057,,,0.0,0.0304606250138022,1.1233399916588326e-14,,,,,
leave_one_out,DEIM,80,80,0.005813208959592578,0.009825455392682725,0.005354090554578945,0.030419418218416462,0.3290073206013202,0.0019365528436335673,27.435674393221067,90.85752047353371,0.015217665990348905,0.011462624999694526,1.1233399916588326e-14,80,True,2.0472512574087887e-13,1.9194057622094617e-16,
leave_one_out,QDEIM,80,80,0.004697115723538333,0.008732860378826502,0.004338874137018706,0.02808275609380364,0.43557027331489606,0.0020283156223119708,17.958575657405067,56.999927895230904,0.01997799999662675,0.011136541987070814,1.1233399916588326e-14,80,True,2.3092638912203256e-13,2.0829800912327033e-16,
leave_one_out,POD_projection,100,,0.0013670799148138028,0.002234580072684528,0.0013021779830900675,0.0047861664202297205,0.10992236750614114,0.0007467717508565367,,,0.0,0.028324625018285587,1.1323388642973977e-14,,,,,
leave_one_out,DEIM,100,100,0.005226437287619509,0.006899992932009803,0.003900240758937272,0.015321387523221203,0.2990567052235308,0.0015186029150656383,44.169840066843605,127.09095818462579,0.019475999986752868,0.020287416991777718,1.1323388642973977e-14,100,True,2.913225216616411e-13,2.262454582253117e-16,
leave_one_out,QDEIM,100,100,0.003642823616959636,0.006009975612184661,0.002935937762285252,0.01781842769402864,0.2926333180050333,0.0014607020747950184,21.04204287942628,63.33243933732949,0.043903709010919556,0.012572084000566974,1.1323388642973977e-14,100,True,1.6697754290362354e-13,2.017069658049744e-16,
